FORECAST_ID,PRODUCT_NUMBER,YEAR,MONTH,EXPECTED_VOLUME
1,45,2023,12,90
2,46,2023,12,84
3,47,2023,12,468
4,48,2023,12,91
5,49,2023,12,35
6,50,2023,12,998
7,51,2023,12,543
8,52,2023,12,295
9,53,2023,12,395
10,54,2023,12,465
11,55,2023,12,390
12,56,2023,12,562
13,57,2023,12,120
14,58,2023,12,422
15,59,2023,12,106
16,60,2023,12,426
17,61,2023,12,697
18,62,2023,12,765
19,63,2023,12,182
20,64,2023,12,264
21,65,2023,12,513
22,66,2023,12,152
23,67,2023,12,254
24,68,2023,12,604
25,69,2023,12,39
26,70,2023,12,209
27,71,2023,12,88
28,72,2023,12,73
29,73,2023,12,241
30,74,2023,12,291
31,75,2023,12,202
32,76,2023,12,233
33,77,2023,12,558
34,78,2023,12,118
35,79,2023,12,57
36,80,2023,12,622
37,81,2023,12,152
38,82,2023,12,311
39,83,2023,12,428
40,84,2023,12,104
41,85,2023,12,248
42,86,2023,12,275
43,88,2023,12,54
44,89,2023,12,365
45,90,2023,12,421
46,91,2023,12,258
47,92,2023,12,120
48,93,2023,12,361
49,94,2023,12,421
50,95,2023,12,267
51,96,2023,12,24
52,97,2023,12,36
53,98,2023,12,64
54,99,2023,12,134
55,100,2023,12,436
56,101,2023,12,110
57,102,2023,12,38
58,103,2023,12,35
59,104,2023,12,14
60,105,2023,12,126
61,106,2023,12,23
62,107,2023,12,37
63,108,2023,12,40
64,109,2023,12,200
65,110,2023,12,204
66,111,2023,12,105
67,112,2023,12,422
68,113,2023,12,276
69,114,2023,12,29
70,1,2023,12,905
71,2,2023,12,544
72,3,2023,12,349
73,4,2023,12,299
74,5,2023,12,177
75,6,2023,12,51
76,7,2023,12,46
77,8,2023,12,183
78,9,2023,12,72
79,10,2023,12,87
80,11,2023,12,299
81,12,2023,12,489
82,13,2023,12,467
83,14,2023,12,595
84,15,2023,12,204
85,16,2023,12,1174
86,17,2023,12,748
87,18,2023,12,652
88,19,2023,12,533
89,20,2023,12,448
90,21,2023,12,99
91,22,2023,12,55
92,23,2023,12,83
93,24,2023,12,453
94,25,2023,12,126
95,26,2023,12,415
96,27,2023,12,311
97,28,2023,12,164
98,29,2023,12,363
99,30,2023,12,419
100,31,2023,12,144
101,32,2023,12,802
102,33,2023,12,420
103,34,2023,12,1130
104,35,2023,12,610
105,36,2023,12,298
106,37,2023,12,324
107,38,2023,12,141
108,39,2023,12,251
109,40,2023,12,1002
110,41,2023,12,146
111,42,2023,12,213
112,43,2023,12,610
113,44,2023,12,318
114,115,2023,12,248
115,63,2022,12,130
116,64,2022,12,632
117,65,2022,12,261
118,66,2022,12,98
119,67,2022,12,227
120,68,2022,12,353
121,69,2022,12,38
122,70,2022,12,103
123,71,2022,12,112
124,72,2022,12,171
125,73,2022,12,297
126,74,2022,12,452
127,75,2022,12,195
128,76,2022,12,482
129,77,2022,12,178
130,78,2022,12,191
131,79,2022,12,41
132,80,2022,12,156
133,81,2022,12,135
134,82,2022,12,225
135,83,2022,12,152
136,84,2022,12,198
137,85,2022,12,61
138,86,2022,12,758
139,87,2022,12,239
140,88,2022,12,268
141,89,2022,12,63
142,90,2022,12,409
143,91,2022,12,119
144,92,2022,12,203
145,93,2022,12,141
146,94,2022,12,405
147,95,2022,12,247
148,96,2022,12,62
149,97,2022,12,34
150,98,2022,12,238
151,99,2022,12,60
152,100,2022,12,545
153,101,2022,12,65
154,102,2022,12,73
155,103,2022,12,24
156,104,2022,12,24
157,105,2022,12,56
158,106,2022,12,15
159,107,2022,12,17
160,108,2022,12,10
161,109,2022,12,184
162,110,2022,12,151
163,111,2022,12,44
164,112,2022,12,130
165,113,2022,12,213
166,114,2022,12,41
167,115,2022,12,336
168,1,2022,12,640
169,2,2022,12,715
170,3,2022,12,511
171,4,2022,12,259
172,5,2022,12,198
173,6,2022,12,26
174,7,2022,12,104
175,8,2022,12,70
176,9,2022,12,212
177,10,2022,12,171
178,11,2022,12,99
179,12,2022,12,177
180,13,2022,12,83
181,14,2022,12,244
